iter	Logloss
0	0.6591000817
1	0.6252896588
2	0.5962449988
3	0.5709338759
4	0.548744458
5	0.5332734266
6	0.5215325769
7	0.5078322109
8	0.498753892
9	0.491471154
10	0.4821063807
11	0.4773375273
12	0.4715861815
13	0.4659577693
14	0.4607227567
15	0.4565794358
16	0.4525914156
17	0.4487678381
18	0.4448672376
19	0.4416938676
20	0.4385329793
21	0.4357611566
22	0.4329100318
23	0.4303598347
24	0.4256141543
25	0.4227065243
26	0.4210412982
27	0.4181936359
28	0.4160940374
29	0.4145124112
30	0.4130458777
31	0.411192181
32	0.4091961872
33	0.4077586961
34	0.4061732699
35	0.4042183498
36	0.4020393083
37	0.3994619735
38	0.3981430725
39	0.3971628585
40	0.3955172893
41	0.3947011268
42	0.3932062578
43	0.3912975612
44	0.3901577833
45	0.3891358704
46	0.3881454074
47	0.3873176682
48	0.3866253283
49	0.3858942003
50	0.3833455296
51	0.3810486246
52	0.3804442214
53	0.379955485
54	0.3787742672
55	0.3775968666
56	0.3767708968
57	0.3761473059
58	0.3751679055
59	0.374677935
60	0.3740964804
61	0.3735184381
62	0.3729181626
63	0.3720393519
64	0.3712817325
65	0.3709368343
66	0.3700011546
67	0.369568812
68	0.3688608547
69	0.3679861689
70	0.3673076013
71	0.3667772932
72	0.3657887121
73	0.3649173089
74	0.3642290377
75	0.3633686348
76	0.3626064528
77	0.3621356415
78	0.3615391203
79	0.3607347013
80	0.360239198
81	0.3590741706
82	0.3582206294
83	0.3579134497
84	0.3573633536
85	0.3568410412
86	0.3561415434
87	0.3555469105
88	0.3549922769
89	0.3545265109
90	0.3537503894
91	0.352739357
92	0.3519372039
93	0.3517423109
94	0.3513547189
95	0.3498497931
96	0.3491405639
97	0.3486674076
98	0.3481378701
99	0.347335355
100	0.3459552057
101	0.3452307344
102	0.3445579385
103	0.3440483628
104	0.3429414084
105	0.3424319394
106	0.3418019264
107	0.341065987
108	0.340515085
109	0.3400220688
110	0.3393470696
111	0.3389572437
112	0.3382166392
113	0.3373597181
114	0.3368940907
115	0.3364811045
116	0.3358749042
117	0.3355082515
118	0.3349464406
119	0.334486638
120	0.3339661677
121	0.3332955562
122	0.3320532501
123	0.3315612722
124	0.3309156572
125	0.3300968342
126	0.3291909862
127	0.3286296709
128	0.328296079
129	0.3274827309
130	0.3268262408
131	0.3263351557
132	0.325512008
133	0.3250780913
134	0.3242432283
135	0.3237011701
136	0.3233565555
137	0.3229143472
138	0.3223011168
139	0.321757648
140	0.3210604751
141	0.3200705528
142	0.319537523
143	0.3188906502
144	0.3183707502
145	0.3175784895
146	0.317104418
147	0.3166808862
148	0.3161138025
149	0.3157254891
150	0.3152483429
151	0.3148508657
152	0.3139746773
153	0.3133384789
154	0.3127548231
155	0.3124252801
156	0.3119620524
157	0.3114193218
158	0.3110285115
159	0.3103762298
160	0.3099371162
161	0.3092310567
162	0.3086502808
163	0.3077429089
164	0.3072136197
165	0.3066239562
166	0.3061053225
167	0.3057981931
168	0.3054646335
169	0.3052212994
170	0.3048335221
171	0.3043672223
172	0.3038980262
173	0.3032684801
174	0.3028235399
175	0.3022099158
176	0.3015926631
177	0.3014530524
178	0.3011299567
179	0.3007713073
180	0.3004165192
181	0.3000558303
182	0.2995698939
183	0.299080357
184	0.2986404028
185	0.2976703231
186	0.2971802507
187	0.2968594059
188	0.2967494121
189	0.2961035456
190	0.2954706397
191	0.2950060996
192	0.2943252595
193	0.2936661988
194	0.2932059874
195	0.2927239416
196	0.2923425579
197	0.2919812351
198	0.2915513347
199	0.291253136
